ID,index,GEE_ID,LANDSAT_PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,Date,Time,WRS_TYPE,WRS_PATH,WRS_ROW,CloudCover,SunAzimuth,SunElevation,SunZenith,RemainAfterPreprocess,Period,CountValidPixel,Percentile
996,LC08_122044_20201116,LANDSAT/LC08/C02/T1_L2/LC08_122044_20201116,LC08_L2SP_122044_20201116_20210315_02_T1,LANDSAT_8,OLI_TIRS,16/11/2020,02:52:24.4593160Z,2,122,44,6.53,153.97,43.94,46.06,Yes,2020,1107244,57
997,LC08_122045_20201116,LANDSAT/LC08/C02/T1_L2/LC08_122045_20201116,LC08_L2SP_122045_20201116_20210315_02_T1,LANDSAT_8,OLI_TIRS,16/11/2020,02:52:48.3545910Z,2,122,45,15.63,153.05,45.13,44.87,No,,,
998,LC08_121045_20201125,LANDSAT/LC08/C02/T1_L2/LC08_121045_20201125,LC08_L2SP_121045_20201125_20210316_02_T1,LANDSAT_8,OLI_TIRS,25/11/2020,02:46:40.1121399Z,2,121,45,26.03,153.62,43.12,46.88,Yes,2020,680363,15
999,LC08_122044_20201202,LANDSAT/LC08/C02/T1_L2/LC08_122044_20201202,LC08_L2SP_122044_20201202_20210312_02_T1,LANDSAT_8,OLI_TIRS,2/12/2020,02:52:28.1142399Z,2,122,44,16.58,154.47,40.60,49.40,Yes,2020,1167834,78
1000,LC08_122045_20201202,LANDSAT/LC08/C02/T1_L2/LC08_122045_20201202,LC08_L2SP_122045_20201202_20210312_02_T1,LANDSAT_8,OLI_TIRS,2/12/2020,02:52:52.0095149Z,2,122,45,6.19,153.65,41.80,48.20,No,,,
1001,LE07_121045_20201203,LANDSAT/LE07/C02/T1_L2/LE07_121045_20201203,LE07_L2SP_121045_20201203_20201229_02_T1,LANDSAT_7,ETM,3/12/2020,02:06:56.6368920Z,2,121,45,53,143.44,36.76,53.24,Yes,2020,888889,52
1002,LC08_121044_20201227,LANDSAT/LC08/C02/T1_L2/LC08_121044_20201227,LC08_L2SP_121044_20201227_20210310_02_T1,LANDSAT_8,OLI_TIRS,27/12/2020,02:46:14.6410069Z,2,121,44,0.06,152.11,38.22,51.78,Yes,2020,983519,89
1003,LC08_121045_20201227,LANDSAT/LC08/C02/T1_L2/LC08_121045_20201227,LC08_L2SP_121045_20201227_20210310_02_T1,LANDSAT_8,OLI_TIRS,27/12/2020,02:46:38.5447540Z,2,121,45,1.71,151.31,39.39,50.61,No,,,
1004,LC08_122044_20210103,LANDSAT/LC08/C02/T1_L2/LC08_122044_20210103,LC08_L2SP_122044_20210103_20210308_02_T1,LANDSAT_8,OLI_TIRS,3/1/2021,02:52:23.0983000Z,2,122,44,2.91,150.94,38.30,51.70,Yes,2020,946981,51
1005,LC08_122045_20210103,LANDSAT/LC08/C02/T1_L2/LC08_122045_20210103,LC08_L2SP_122045_20210103_20210308_02_T1,LANDSAT_8,OLI_TIRS,3/1/2021,02:52:46.9978110Z,2,122,45,22.67,150.12,39.44,50.56,No,,,
1006,LC08_121044_20210112,LANDSAT/LC08/C02/T1_L2/LC08_121044_20210112,LC08_L2SP_121044_20210112_20210308_02_T1,LANDSAT_8,OLI_TIRS,12/1/2021,02:46:08.3191140Z,2,121,44,0.09,149.20,38.88,51.12,Yes,2020,934897,70
1007,LC08_121045_20210112,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210112,LC08_L2SP_121045_20210112_20210308_02_T1,LANDSAT_8,OLI_TIRS,12/1/2021,02:46:32.2186260Z,2,121,45,0.14,148.33,40.00,50.00,No,,,
1008,LC08_122044_20210119,LANDSAT/LC08/C02/T1_L2/LC08_122044_20210119,LC08_L2SP_122044_20210119_20210307_02_T1,LANDSAT_8,OLI_TIRS,19/1/2021,02:52:15.5992020Z,2,122,44,0.58,147.68,39.71,50.29,Yes,2020,1202764,100
1009,LC08_122045_20210119,LANDSAT/LC08/C02/T1_L2/LC08_122045_20210119,LC08_L2SP_122045_20210119_20210307_02_T1,LANDSAT_8,OLI_TIRS,19/1/2021,02:52:39.4987140Z,2,122,45,43.85,146.77,40.81,49.19,No,,,
1010,LE07_121044_20210120,LANDSAT/LE07/C02/T1_L2/LE07_121044_20210120,LE07_L2SP_121044_20210120_20210215_02_T1,LANDSAT_7,ETM,20/1/2021,02:03:05.0062241Z,2,121,44,33,137.26,33.74,56.26,No,,,
1011,LC08_121045_20210128,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210128,LC08_L2SP_121045_20210128_20210305_02_T1,LANDSAT_8,OLI_TIRS,28/1/2021,02:46:28.4256070Z,2,121,45,28.27,144.59,42.29,47.71,Yes,2020,910270,61
1012,LC08_122044_20210204,LANDSAT/LC08/C02/T1_L2/LC08_122044_20210204,LC08_L2SP_122044_20210204_20210303_02_T1,LANDSAT_8,OLI_TIRS,4/2/2021,02:52:14.3726120Z,2,122,44,0.09,143.83,42.75,47.25,Yes,2020,1188926,89
1013,LC08_122045_20210204,LANDSAT/LC08/C02/T1_L2/LC08_122045_20210204,LC08_L2SP_122045_20210204_20210303_02_T1,LANDSAT_8,OLI_TIRS,4/2/2021,02:52:38.2721230Z,2,122,45,5.54,142.76,43.77,46.23,No,,,
1014,LE07_121044_20210205,LANDSAT/LE07/C02/T1_L2/LE07_121044_20210205,LE07_L2SP_121044_20210205_20210302_02_T1,LANDSAT_7,ETM,5/2/2021,02:01:54.9923280Z,2,121,44,0,132.86,36.13,53.87,Yes,2020,912524,63
1015,LE07_121045_20210205,LANDSAT/LE07/C02/T1_L2/LE07_121045_20210205,LE07_L2SP_121045_20210205_20210302_02_T1,LANDSAT_7,ETM,5/2/2021,02:02:18.8871414Z,2,121,45,38,131.88,36.94,53.06,No,,,
1016,LE07_122044_20210212,LANDSAT/LE07/C02/T1_L2/LE07_122044_20210212,LE07_L2SP_122044_20210212_20210311_02_T1,LANDSAT_7,ETM,12/2/2021,02:07:34.4925328Z,2,122,44,12,130.72,37.57,52.43,Yes,2020,736578,27
1017,LE07_122045_20210212,LANDSAT/LE07/C02/T1_L2/LE07_122045_20210212,LE07_L2SP_122045_20210212_20210311_02_T1,LANDSAT_7,ETM,12/2/2021,02:07:58.3869748Z,2,122,45,1,129.66,38.34,51.66,No,,,
1018,LC08_121045_20210213,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210213,LC08_L2SP_121045_20210213_20210301_02_T1,LANDSAT_8,OLI_TIRS,13/2/2021,02:46:25.4165390Z,2,121,45,34.31,140.24,46.02,43.98,Yes,2020,737713,24
1019,LC08_122044_20210220,LANDSAT/LC08/C02/T1_L2/LC08_122044_20210220,LC08_L2SP_122044_20210220_20210303_02_T1,LANDSAT_8,OLI_TIRS,20/2/2021,02:52:10.0678530Z,2,122,44,0.04,139.44,47.06,42.94,Yes,2020,1171813,84
1020,LC08_122045_20210220,LANDSAT/LC08/C02/T1_L2/LC08_122045_20210220,LC08_L2SP_122045_20210220_20210303_02_T1,LANDSAT_8,OLI_TIRS,20/2/2021,02:52:33.9631280Z,2,122,45,0.16,138.13,48.00,42.00,No,,,
1021,LE07_121044_20210221,LANDSAT/LE07/C02/T1_L2/LE07_121044_20210221,LE07_L2SP_121044_20210221_20210318_02_T1,LANDSAT_7,ETM,21/2/2021,02:00:42.8678948Z,2,121,44,3,127.78,39.70,50.30,Yes,2020,914737,67
1022,LE07_121045_20210221,LANDSAT/LE07/C02/T1_L2/LE07_121045_20210221,LE07_L2SP_121045_20210221_20210318_02_T1,LANDSAT_7,ETM,21/2/2021,02:01:06.7618958Z,2,121,45,1,126.61,40.40,49.60,No,,,
1023,LC08_121045_20210301,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210301,LC08_L2SP_121045_20210301_20210311_02_T1,LANDSAT_8,OLI_TIRS,1/3/2021,02:46:19.3412850Z,2,121,45,6.13,135.20,50.75,39.25,No,,,
1024,LC08_121044_20210317,LANDSAT/LC08/C02/T1_L2/LC08_121044_20210317,LC08_L2SP_121044_20210317_20210328_02_T1,LANDSAT_8,OLI_TIRS,17/3/2021,02:45:46.0129950Z,2,121,44,10.57,131.04,55.17,34.83,Yes,2020,725592,22
1025,LC08_121045_20210317,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210317,LC08_L2SP_121045_20210317_20210328_02_T1,LANDSAT_8,OLI_TIRS,17/3/2021,02:46:09.9082710Z,2,121,45,7.27,129.13,55.93,34.07,No,,,
1026,LE07_121044_20210325,LANDSAT/LE07/C02/T1_L2/LE07_121044_20210325,LE07_L2SP_121044_20210325_20210419_02_T1,LANDSAT_7,ETM,25/3/2021,01:58:11.7229223Z,2,121,44,3,115.31,48.37,41.63,Yes,2020,155998,4
1027,LE07_121045_20210715,LANDSAT/LE07/C02/T1_L2/LE07_121045_20210715,LE07_L2SP_121045_20210715_20210809_02_T1,LANDSAT_7,ETM,15/7/2021,01:49:13.6555104Z,2,121,45,5,82.74,53.39,36.61,Yes,2020,669874,13
1028,LC08_121044_20210723,LANDSAT/LC08/C02/T1_L2/LC08_121044_20210723,LC08_L2SP_121044_20210723_20210729_02_T1,LANDSAT_8,OLI_TIRS,23/7/2021,02:45:55.1313369Z,2,121,44,9.06,92.73,66.57,23.43,Yes,2020,886046,50
1029,LC08_121045_20210723,LANDSAT/LC08/C02/T1_L2/LC08_121045_20210723,LC08_L2SP_121045_20210723_20210729_02_T1,LANDSAT_8,OLI_TIRS,23/7/2021,02:46:19.0266120Z,2,121,45,7.91,89.32,66.37,23.63,No,,,
1030,LE07_121045_20210901,LANDSAT/LE07/C02/T1_L2/LE07_121045_20210901,LE07_L2SP_121045_20210901_20210926_02_T1,LANDSAT_7,ETM,1/9/2021,01:45:02.1550980Z,2,121,45,29,103.59,50.11,39.89,No,,,
1031,LE07_121044_20210917,LANDSAT/LE07/C02/T1_L2/LE07_121044_20210917,LE07_L2SP_121044_20210917_20211012_02_T1,LANDSAT_7,ETM,17/9/2021,01:43:13.7385156Z,2,121,44,13,114.15,47.86,42.14,Yes,2020,219712,7
1032,LC08_121044_20210925,LANDSAT/LC08/C02/T1_L2/LC08_121044_20210925,LC08_L2SP_121044_20210925_20211001_02_T1,LANDSAT_8,OLI_TIRS,25/9/2021,02:46:15.1090059Z,2,121,44,8.84,136.39,58.32,31.68,Yes,2020,393347,9
1033,LC08_121045_20211011,LANDSAT/LC08/C02/T1_L2/LC08_121045_20211011,LC08_L2SP_121045_20211011_20211019_02_T1,LANDSAT_8,OLI_TIRS,11/10/2021,02:46:44.7483290Z,2,121,45,13.07,143.15,55.07,34.93,Yes,2020,953432,76
