PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
298,2010,SG24,818837,826815.5,Grassland,Grassland
299,2010,SG25,818658.6,826855.2,Grassland,Grassland
300,2010,SG27,817797.9,826525.9,Grassland,Grassland
301,2010,SG28,817298.1,826558.1,Shrubland,Shrubland
302,2010,SG30,819937.6,826879.6,Grassland,Grassland
303,2010,SG32,819671.2,826427.5,Shrubland,Shrubland
304,2010,SG33,819755.6,826260.2,Shrubland,Shrubland
305,2010,SG36,827119.9,824079.6,Plantation or Plantation/Mixed forest,Woodland
306,2010,SG37,827247.5,823550.5,Plantation or Plantation/Mixed forest,Woodland
307,2010,SG38,827466.3,823352.1,Grassland,Grassland
308,2010,SG39,827633,823329.9,Shrubland,Shrubland
309,2010,SG40,828081.1,822855.5,Grassland,Grassland
310,2010,SG41,828657.1,822995.7,Shrubland,Shrubland
311,2010,SG42,828507.8,822937,Shrubland,Shrubland
312,2010,SG43,828375.9,822840,Lowland forest,Woodland
313,2010,SG44,828645.9,822469.3,Plantation or Plantation/Mixed forest,Woodland
314,2010,SG45,810912.5,826320,Grassland,Grassland
315,2010,SG48,816358.7,828896.7,Shrubland,Shrubland
316,2010,SG50,816897,828387.9,Grassland,Grassland
317,2010,SG51,813660.5,827860.8,Grassland,Grassland
318,2010,SG52,813303.4,827652.8,Grassland,Grassland
319,2010,SG54,813132,827411.1,Grassland,Grassland
320,2010,SG55,813212.1,827889.5,Grassland,Grassland
321,2010,SG56,813248.6,828080.2,Grassland,Grassland
322,2010,SG57,813412.6,827788.7,Grassland,Grassland
323,2010,SG58,816240.1,828253.6,Shrubland,Shrubland
324,2010,SG59,814792,828127.8,Shrubland,Shrubland
325,2010,SG60,816267.6,828173.8,Shrubland,Shrubland
326,2010,SG61,816372.8,827953.4,Shrubland,Shrubland
327,2010,SG62,816382.3,827653.7,Shrubland,Shrubland
328,2010,SG63,816406.3,827111.5,Lowland forest,Woodland
329,2010,SG64,816382.7,826926.3,Shrubland,Shrubland
330,2010,SG66,816668.6,829519.6,Shrubland,Shrubland
331,2010,SG67,816668.6,829519.6,Shrubland,Shrubland
332,2010,SG68,816958,830219,Shrubland,Shrubland
333,2010,SG69,816571.4,829486.2,Grassland,Grassland
334,2010,SG70,816138.5,833624.4,Shrubland,Shrubland
335,2010,SG71,816064.8,833486.3,Shrubland,Shrubland
336,2010,SG72,815895.1,833471.1,Shrubland,Shrubland
