ID,POINT_X,POINT_Y,Class,G_ms,R_ms,NIR_B3_ms,NIR_ms,B_tm,G_tm,R_tm,NIR_tm,SW1_tm,SW2_tm,B_et,G_et,R_et,NIR_et,SW1_et,SW2_et,C_ol,B_ol,G_ol,R_ol,NIR_ol,SW1_ol,SW2_ol
28,831464.6526,828196.1886,Grassland,0.0289,0.0666,0.1813,0.2747,0.0443,0.0688,0.0767,0.2373,0.2116,0.1172,0.0353,0.0587,0.0668,0.2468,0.2118,0.1108,0.0376,0.0418,0.0659,0.0654,0.2689,0.2116,0.1133
29,833535.1845,830774.3555,Grassland,0.0261,0.0637,0.1920,0.2968,0.0436,0.0691,0.0738,0.2527,0.2426,0.1352,0.0344,0.0582,0.0644,0.2570,0.2341,0.1292,0.0376,0.0404,0.0622,0.0581,0.3006,0.2199,0.1093
30,830983.0894,808575.5591,Grassland,0.0355,0.0610,0.1335,0.1813,0.0548,0.0771,0.0791,0.2035,0.2180,0.1250,0.0450,0.0629,0.0678,0.2164,0.2090,0.1174,0.0262,0.0329,0.0581,0.0530,0.2203,0.1935,0.1057
31,849193.8678,818324.0905,Grassland,0.0373,0.0561,0.1454,0.1982,0.0441,0.0616,0.0542,0.1862,0.1600,0.0805,0.0383,0.0521,0.0455,0.1908,0.1576,0.0784,0.0277,0.0326,0.0541,0.0430,0.1994,0.1498,0.0762
32,851416.3964,821293.7177,Grassland,0.0347,0.0652,0.1507,0.2124,0.0469,0.0638,0.0584,0.2008,0.1824,0.1001,0.0366,0.0518,0.0453,0.2150,0.1707,0.0880,0.0221,0.0284,0.0525,0.0397,0.2255,0.1625,0.0812
33,851745.6405,825885.5255,Grassland,0.0289,0.0486,0.1395,0.1960,0.0481,0.0664,0.0593,0.1822,0.1646,0.0872,0.0441,0.0577,0.0500,0.1849,0.1577,0.0823,0.0292,0.0358,0.0548,0.0467,0.1825,0.1497,0.0809
34,844217.0911,829035.9055,Grassland,0.0228,0.0558,0.1552,0.2402,0.0412,0.0608,0.0695,0.2057,0.2150,0.1245,0.0337,0.0514,0.0585,0.2081,0.2061,0.1191,0.0327,0.0354,0.0538,0.0529,0.2271,0.2000,0.1077
35,842055.1168,825942.6336,Grassland,0.0302,0.0638,0.1477,0.2009,0.0417,0.0628,0.0719,0.1996,0.2174,0.1318,0.0349,0.0532,0.0650,0.2050,0.2206,0.1301,0.0327,0.0368,0.0555,0.0580,0.2178,0.2105,0.1221
36,841093.9857,822074.9983,Grassland,0.0310,0.0599,0.1298,0.1844,0.0458,0.0669,0.0737,0.1967,0.2014,0.1210,0.0374,0.0558,0.0634,0.2171,0.2063,0.1202,0.0393,0.0435,0.0604,0.0587,0.2403,0.1960,0.1118
37,835665.0882,829274.6109,Grassland,0.0289,0.0668,0.1606,0.2329,0.0426,0.0647,0.0758,0.2097,0.2237,0.1345,0.0338,0.0523,0.0613,0.2227,0.2233,0.1300,0.0373,0.0413,0.0583,0.0599,0.2515,0.2124,0.1219
38,823004.289,832183.7206,Grassland,0.0280,0.0605,0.1510,0.2222,0.0529,0.0729,0.0744,0.1957,0.1972,0.1200,0.0440,0.0625,0.0678,0.1958,0.2046,0.1218,0.0450,0.0489,0.0676,0.0689,0.2243,0.2105,0.1231
